order_id,customer_id,product_id,store_id,quantity,revenue,order_date,region
ORD-0113,C058,P007,S06,6,125.42,2021-12-20,North
ORD-0114,C057,P029,S09,5,288.43,01/16/2023,West
ORD-0115,C050,P027,S06,6,341.11,2022-11-17,North
ORD-0116,C072,P044,S07,3,97.92,2024-05-19,North
ORD-0117,C075,P043,S03,3,110.15,2023-03-14,West
ORD-0118,C011,P020,S09,4,240.18,2022-11-04,West
ORD-0119,C068,P006,S07,5,201.64,01/13/2023,East
ORD-0120,C028,P022,S08,2,61.72,2021-10-09,North
ORD-0121,C9120,P050,S09,6,461.15,19-Mar-2021,West
ORD-0122,C017,P039,S07,2,52.71,06-Dec-2021,West
ORD-0123,C053,P024,S04,4,230.97,2023-07-09,West
ORD-0124,C040,P052,S08,2,81.5,03/14/2024,East
ORD-0125,C037,P050,S07,5,259.61,2021-11-28,South
ORD-0126,C018,P056,S05,1,59.88,31-Jan-2023,West
ORD-0127,C067,P055,S02,3,62.61,11/25/2021,East
ORD-0128,C066,P010,S07,1,81.25,03/31/2022,West
ORD-0129,C004,P027,S01,4,200.56,04/28/2022,North
ORD-0130,C048,P015,S01,3,240.47,2022-11-18,East
ORD-0131,C061,P045,S03,6,287.03,2024-06-14,West
ORD-0132,C003,P017,S04,2,106.83,31-May-2024,North
ORD-0133,C037,P016,S05,1,18.34,10-May-2023,South
ORD-0134,C059,P005,S02,4,,03-Feb-2021,West
ORD-0135,C031,P046,S03,3,135.14,06/13/2024,South
ORD-0136,C054,P012,S02,5,416.13,19-May-2021,South
ORD-0137,C065,P036,S01,4,304.53,31-Mar-2021,West
ORD-0138,C048,P017,S01,3,210.59,2022-12-08,South
ORD-0139,C014,P050,S06,2,36.21,01/24/2024,North
ORD-0140,C023,P054,S08,6,290.98,2022-01-09,West
ORD-0141,C005,P9140,S04,1,70.38,03/27/2021,West
ORD-0142,C066,P026,S09,4,130.93,01/27/2022,West
ORD-0143,C007,P056,S06,3,71.14,01/24/2023,West
ORD-0144,C057,P058,S07,3,249.48,14-Oct-2023,West
ORD-0145,C067,P018,S02,6,268.29,01-Jun-2023,East
ORD-0146,C024,P035,S05,3,66.55,03-Nov-2022,West
ORD-0147,C058,P039,S07,2,126.57,12/21/2022,East
ORD-0148,C056,P018,S01,1,61.98,04/12/2023,South
ORD-0149,C021,P002,S03,5,312.33,2023-06-17,South
ORD-0150,C047,P024,S07,5,86.33,11-Nov-2021,North
ORD-0151,C048,P024,S08,1,55.17,12/21/2023,South
ORD-0152,C036,P016,S02,1,66.5,20-Oct-2023,West
ORD-0153,C072,P008,S05,3,-192.85,16-Mar-2022,North
ORD-0154,C063,P013,S02,2,149.4,2023-07-15,North
ORD-0155,C057,P006,S06,6,235.92,13-May-2021,West
ORD-0156,C039,P055,S03,6,388.02,12/23/2021,West
ORD-0157,C016,P013,S03,2,140.65,02/23/2021,West
ORD-0158,C048,P030,S09,2,115.67,2021-06-26,South
ORD-0159,C062,P034,S07,4,290.54,2021-06-01,North
ORD-0160,C010,P029,S08,6,307.29,20-Sep-2021,West
ORD-0161,C024,P050,S03,4,200.8,2021-04-24,West
ORD-0162,C039,P011,S03,3,241.29,04/07/2022,West
ORD-0163,C067,P058,S05,1,32.54,02/03/2024,East
ORD-0164,C069,P006,S09,6,160.83,2024-04-04,West
ORD-0165,C044,P054,S01,1,20.69,03/27/2024,West
ORD-0166,C9165,P027,S01,4,308.92,01/23/2024,West
ORD-0167,C039,P031,S04,6,260.56,2023-07-18,West
ORD-0168,C021,P029,S07,4,190.04,28-Nov-2022,East
ORD-0169,C045,P026,S03,3,153.15,08/06/2021,East
ORD-0170,C016,P018,S08,2,49.72,04/14/2021,West
ORD-0171,C054,P016,S03,3,241.09,2022-10-03,South
ORD-0172,C064,P033,S08,4,306.14,2023-10-16,West
ORD-0173,C065,P030,S04,2,111.67,2021-04-10,West
ORD-0174,C061,P019,S09,1,74.3,2023-06-02,West
ORD-0175,C047,P049,S07,3,54.5,15-Apr-2021,North
ORD-0176,C047,P036,S05,1,42.04,12-Jul-2023,North
ORD-0177,C016,P009,S02,4,164.5,26-Nov-2022,West
ORD-0178,C019,P013,S09,4,200.02,2021-04-03,East
ORD-0179,C061,P034,S08,1 unit,114.88,2023-11-22,West
ORD-0180,C041,P011,S07,5,333.76,05-Sep-2022,South
ORD-0181,C066,P035,S08,6,326.43,2023-08-31,West
ORD-0182,C015,P027,S05,6,456.28,24-Feb-2021,South
ORD-0183,C075,P037,S04,6,111.57,2023-09-11,West
ORD-0184,C049,P010,S04,1,55.08,2021-08-14,East
ORD-0185,C054,P010,S07,6,175.63,25-Oct-2023,South
ORD-0186,C008,P9185,S03,5,147.57,28-Oct-2022,East
ORD-0187,C049,P021,S03,4,315.39,03-Dec-2022,West
ORD-0188,C034,P040,S08,2,164.03,26-Jul-2022,North
ORD-0189,C039,P050,S05,6,177.06,09/29/2023,West
ORD-0190,C072,P060,S05,3,70.59,01/18/2024,North
ORD-0191,C051,P053,S06,2,70.66,13-Aug-2022,West
ORD-0192,C033,P048,S08,2,58.29,01/09/2024,West
ORD-0193,C035,P009,S02,5,334.31,2022-05-06,South
ORD-0194,C030,P004,S02,4,152.48,2023-08-26,West
ORD-0195,C018,P001,S09,2,86.97,09/02/2023,West
ORD-0196,C037,P021,S05,6,114.85,03-Jul-2021,South
ORD-0197,C069,P048,S01,2,88.5,2021-12-27,West
ORD-0198,C051,P051,S08,2,161.13,2022-08-16,North
ORD-0199,C043,P019,S08,6,,2023-10-09,South
ORD-0200,C060,P018,S04,1,38.15,29-Jul-2023,West
ORD-0201,C024,P001,S06,3,164.23,2022-01-31,West
ORD-0202,C052,P053,S07,5,189.77,01-Apr-2023,South
ORD-0203,C062,P021,S04,1,33.25,04/28/2022,North
ORD-0204,C043,P020,S01,3,182.27,2022-04-29,South
ORD-0205,C060,P020,S03,4,252.1,29-Sep-2022,East
ORD-0206,C048,P040,S04,2,164.03,2023-09-07,South
ORD-0207,C048,P027,S09,4,272.06,2022-03-24,South
ORD-0208,C011,P034,S08,5,321.32,09-Jun-2021,South
ORD-0209,C074,P035,S03,2,75.94,12/02/2023,South
ORD-0210,C075,P032,S02,5,230.92,04/24/2021,West
ORD-0211,C9210,P037,S01,5,236.83,24-Sep-2022,East
ORD-0212,C001,P048,S04,5,100.56,05/18/2023,North
ORD-0213,C070,P004,S02,4,68.89,2023-04-18,West
ORD-0214,C054,P024,S07,4,303.49,02/13/2023,South
ORD-0215,C045,P008,S03,5,212.57,18-Sep-2021,East
ORD-0216,C001,P049,S01,3,-142.23,01/21/2024,North
ORD-0217,C030,P016,S08,3,77.58,22-Jan-2022,West
ORD-0218,C005,P052,S07,5,343.12,2021-02-02,West
ORD-0219,C013,P039,S01,4,227.38,2021-04-10,West
ORD-0220,C052,P029,S04,5,151.04,2021-04-26,West
ORD-0221,C038,P015,S06,5,284.27,2022-10-19,East
ORD-0222,C019,P043,S09,2,87.9,2022-07-18,West
ORD-0223,C076,P057,S03,6,375.08,02/13/2024,East
ORD-0224,C049,P051,S09,3,191.22,2023-04-17,West
ORD-0225,C024,P049,S09,4,127.47,04/07/2022,West
ORD-0226,C019,P052,S08,1,54.37,04-May-2023,West
ORD-0227,C050,P016,S05,2,76.24,06/11/2021,North
ORD-0228,C012,P035,S04,1,33.79,23-May-2024,North
ORD-0229,C025,P052,S09,2,97.12,11/13/2022,West
ORD-0230,C002,P014,S04,6,139.27,2023-09-08,North
ORD-0231,C027,P9230,S04,5,187.57,08/03/2022,West
ORD-0232,C046,P020,S05,3,152.69,10/16/2023,West
ORD-0233,C041,P059,S04,3,110.71,04-Apr-2021,South
ORD-0234,C019,P002,S05,5,402.17,01-Apr-2024,West
ORD-0235,C020,P013,S06,2,83.18,05/19/2022,East
ORD-0236,C044,P017,S08,6,359.51,10/02/2023,West
ORD-0237,C046,P011,S03,6,319.55,12-Jan-2022,West
ORD-0238,C008,P034,S01,1,81.16,2021-04-10,East
ORD-0239,C030,P005,S03,1,30.31,07/23/2023,West
ORD-0240,C063,P002,S01,5,268.08,2021-01-25,North
ORD-0241,C036,P035,S05,1,50.16,2023-06-01,North
ORD-0242,C068,P010,S04,2,116.77,06/01/2022,East
ORD-0243,C051,P006,S06,4 pcs,188.52,14-May-2022,West
ORD-0244,C011,P042,S01,1,43.37,12-Feb-2023,West
ORD-0245,C002,P045,S03,1,49.99,08-Jun-2023,North
ORD-0246,C9245,P055,S02,5,396.7,2022-04-16,East
ORD-0247,C073,P031,S05,1,79.69,29-Jul-2022,East
ORD-0248,C005,P012,S06,1,82.3,2024-04-17,West
ORD-0249,C051,P060,S02,3,79.11,08-May-2022,West
ORD-0250,C050,P044,S09,3,125.61,14-Oct-2021,North
ORD-0251,C065,P048,S06,1,21.84,2022-04-21,West
ORD-0252,C051,P050,S06,1,59.39,07/12/2023,West
ORD-0253,C071,P025,S07,2,125.16,2023-02-18,South
ORD-0254,C038,P052,S04,6,120.87,2022-07-03,East
ORD-0255,C020,P048,S07,3,120.75,2021-07-07,East
ORD-0256,C057,P024,S05,1,,01/19/2022,West
ORD-0257,C072,P033,S07,1,16.84,26-Dec-2022,East
ORD-0258,C050,P001,S05,4,168.58,23-Jun-2021,North
ORD-0259,C032,P037,S09,2,125.94,2021-12-14,East
ORD-0260,C035,P032,S03,1,26.7,07/20/2022,West
ORD-0261,C010,P024,S05,2,130.93,13-Oct-2023,West
ORD-0262,C059,P007,S03,3,46.42,03/22/2023,West
ORD-0263,C049,P052,S06,4,153.73,2024-05-02,West
ORD-0264,C026,P031,S06,2,165.04,10/16/2022,West
ORD-0265,C063,P037,S04,3,123.97,03/16/2023,South
ORD-0266,C076,P035,S03,6,412.4,25-Feb-2021,West
ORD-0267,C027,P029,S05,6,119.05,18-Apr-2023,West
ORD-0268,C039,P016,S05,6,154.74,05/17/2023,West
ORD-0269,C075,P026,S09,5,398.22,07-May-2023,East
ORD-0270,C069,P039,S02,1,68.83,2022-12-29,West
ORD-0271,C006,P037,S07,3,247.8,2023-06-01,East
ORD-0272,C029,P033,S09,5,278.18,2024-03-24,East
ORD-0273,C051,P030,S09,2,78.3,02/20/2021,West
ORD-0274,C011,P008,S03,3,110.5,2023-07-22,West
ORD-0275,C045,P031,S02,4,262.16,07/16/2023,North
ORD-0276,C015,P9275,S06,6,135.93,03-Dec-2021,South
ORD-0277,C023,P036,S03,3,162.57,2023-08-05,South
ORD-0278,C024,P012,S07,4,68.17,2024-06-11,West
ORD-0279,C055,P025,S01,6,180.21,25-Jul-2022,South
ORD-0280,C009,P037,S02,5,140.44,2022-10-30,South
ORD-0281,C034,P043,S08,5,-413.07,04-Oct-2022,North
ORD-0282,C051,P038,S02,3,118.92,27-Jul-2023,West
ORD-0283,C039,P059,S02,6,146.26,2021-08-30,West
ORD-0284,C024,P024,S03,5,210.96,2024-05-06,West
ORD-0285,C055,P012,S08,6,315.7,21-Dec-2021,South
ORD-0286,C037,P009,S03,3,221.82,2024-06-22,South
ORD-0287,C002,P032,S03,2,144.13,25-Feb-2024,North
ORD-0288,C053,P044,S08,4,258.84,06/29/2023,West
ORD-0289,C073,P002,S04,3,51.87,06-Apr-2022,East
ORD-0290,C059,P037,S08,5,253.78,2024-03-18,West
ORD-0291,C070,P053,S06,5,362.91,27-Mar-2021,West
ORD-0292,C028,P028,S02,6,438.63,05/22/2022,South
ORD-0293,C005,P029,S05,3,226.06,06/28/2021,West
ORD-0294,C016,P050,S04,2,143.5,19-Apr-2024,West
ORD-0295,C055,P011,S03,2,143.89,02-May-2021,South
ORD-0296,C036,P039,S09,2,75.31,08/23/2022,West
ORD-0297,C066,P058,S02,2,164.79,2023-04-23,West
ORD-0021,C055,P020,S01,5,411.04,2021-07-23,South
ORD-0101,C006,P028,S01,4,317.93,04-Oct-2022,North
ORD-0201,C024,P001,S06,3,164.23,2022-01-31,West
